问题,答案
问题:OD / 840D 系统硬件的特点是什么？,答案:OD / 840D 系统硬件的特点是模块少、结构简单，因此硬件的故障率较低。
问题:OD / 840D 系统由哪些单元构成？,答案:OD / 840D 系统由操作面板、机床控制面板、NCUCCU、MMC、611 伺服驱动、I/O 模块等单元构成。
问题:CCUNCU、MMC、PLC 三部分组成了什么？,答案:CCUNCU、MMC、PLC 三部分组成了数控装置。
问题:CCUNCU在系统中扮演什么角色？,答案:CCUNCU是系统的核心，包括了 CNC 与 PLC 的硬件与软件、MPI 接口、PROFIBUS 总线接口、RS-232 接口、手轮接口、测量接口等部分。
问题:什么是 MMC？,答案:MMCMan Machine Communication是指人机界面，包括操作面板和机床操作面板。
问题:操作面板 OP 包括哪些部件？,答案:操作面板 OP 包括 10.4 英寸 TFT 显示器和 NC 键盘。
问题:MMC 与 CCU 之间是如何连接的？,答案:MMC包括操作面板和机床操作面板与 CCUNCU之间通过 PROFIBUS 总线连接。
问题:MMC 是什么类型的计算机？,答案:MMC 是一台独立的计算机，具有独立的 PENTIUM CPU、硬盘、软驱、TFT 显示器和 NC 键盘等部件。
问题:MMC 可以运行什么类型的软件？,答案:MMC 是 CNC 的人机界面，可以安装独立的软件HMI。
问题:MCP 是什么？,答案:MCP 是机床操作面板，它是总线上的一个节点，可以根据机床的不同选择不同的操作面板。
问题:与 S7 – 300 兼容的 PLC 的硬件和软件与 S7 – 300 有什么关系？,答案:与 S7 – 300 兼容的 PLC 使用与 S7 – 300 相同的软件与硬件。
问题:PLC 的电源模块、接口模块、I / O 模块如何与系统连接？,答案:PLC 的电源模块、接口模块、I / O 模块与系统间通过 S7 总线与 CCU 或 NCU 连接。
问题:什么是SIEMENS系统的硬件特点？,答案:SIEMENS系统的硬件特点是模块少、整体结构简单，用户一般无需调整，硬件的可靠性较高。
问题:当系统硬件发生故障时，应如何进行诊断？,答案:系统硬件故障时，通常需要对模块进行检测与维修，并具备一定的测试条件、工装和相应的维修器件。现场维修时，需要根据模块的功能结合故障现象判断、查找出发生故障的模块，进行备件替换。当CPU或存储器等模块更换后，还需要重新进行数据的输入和系统的初始化调整，使系统恢复正常工作。
问题:以810/820系统为例，硬件故障的一般检查方法有哪些？,答案:对于810/820系统，硬件故障的一般检查方法包括电源模块的故障诊断和其他系统的故障诊断方法。
问题:系统电源模块采用的电源输入类型是什么？显示器电源是多少伏特？,答案:系统电源模块采用直流24V输入，显示器电源为直流15V。
问题:系统电源模块采用的电源输入类型是什么？显示器电源是多少伏特？,答案:系统电源模块采用交流220V输入，显示器电源为交流220V。
问题:电源模块的输出电压有哪些？具有哪些保护功能？,答案:电源模块的输出直流电压有5V、-5V、12V、-12V和+15V等。具有过电流、短路等保护功能。
问题:电源模块的测量、控制端有哪些端子和按钮？,答案:测量、控制端有5V电压测量孔、电源正常POWERSUPPLY OK信号输出端子、系统启动NC-ON信号输入端子及复位按钮RESET等。
问题:电源模块的工作过程是什么？,答案:外部直流24V或交流220V电压加入；
问题:如何判断电源模块是否正常工作？,答案:可以通过对 5V 测量孔的电压测量进行判断。若接通 NC – ON 信号后，+ SV 测量孔有 5V 电压输出，则表明电源模块工作正常。若无 5V 电压输出，则表明电源模块可能损坏。
问题:电源模块损坏时应如何检查？,答案:维修时可取下电源模块，检查各电子元器件的外观与电源输入熔丝是否熔断。在此基础上，再根据原理图逐一检查各元器件。
问题:当系统出现开机时有 5V 电压输出，但几秒钟后 5V 电压又断开的故障时，应如何维修？,答案:可以将电源模块拔出，使其与负载断开，再通过接通 NC – ON 正常上电。若这种情况下 5V 电压输出正常且电源正常信号输出触点闭合，则证明电源模块本身工作正常，故障原因属于系统内部电源过载。
问题:如何诊断电源模块故障？,答案:若电源模块取下后，无5V输出或只有几秒的5V电压输出，可能是电源模块本身存在过载或内部元器件损坏。可参考本书第4章第4.1节，测绘了810M电源模块的部分电路并列举了维修实例进行检查。
问题:/820系统显示系统由哪些部件组成？,答案:/820系统显示控制主要由CRT、视频板等部件组成。CRT的作用是将视频信号转换为图像进行显示；视频板的作用是将字符及图像点阵转换为视频信号进行输出。
问题:CRT故障时有哪些现象？,答案:当CRT故障时，一般有以下几种现象：屏幕无任何显示，系统无法启动；屏幕显示一条水平或垂直的亮线；屏幕左右图像变形；屏幕上下线性不一致，或被压缩，或被扩展；屏幕图像发生倾斜或抖动。
问题:视频板故障时可能出现哪些现象？,答案:CPU板是整个系统的核心，它包括了哪些控制、处理线路？
问题:当 CPU 板发生故障时，有哪些可能的现象？,答案:CPU 板发生故障时，可能的现象包括屏幕无任何显示、系统无法启动、CPU 板上的报警指示红灯亮、系统不能通过自检、屏幕有图像显示但不能进入 CNC 正常画面、屏幕有图像显示但不响应键盘的任何按键以及通信不能进行。
问题:接口板上有哪些部件？,答案:接口板上主要安装有系统软件子程序模块、两个数字测头的信号输入端、PLC 输入/输出模块的接口部件等。
问题:接口板发生故障时，有哪些可能的现象？,答案:接口板发生故障时，可能的现象包括系统死机、无法启动、接口板上系统软件与 CPU 板上系统软件不匹配导致系统死机或服盲、PLC 输入/ 输出无效以及电子手轮无法正常工作。
问题:什么是存储器板，它上面安装了什么？,答案:存储器板上安装了UMS用户存储子模块、系统存储器子模块等，其中UMS可以是固化用户2S800A开发软件的用户程序子模块，或是西门子提供的固定循环子模块，或是RAM子模块。
问题:存储器板故障时，通常会有什么现象？,答案:存储器板故障时，一般会有系统死机、无法启动、存储器上的软件与CPU板上系统软件不匹配导致系统死机或报警等现象。
问题:当存储器板发生故障时，如何排除故障？,答案:如果通过更换软件仍然不能排除存储器板的故障，一般应更换一块新的备件板。
问题:什么是位置控制板，它由哪些部件组成？,答案:位置控制板是CNC的重要组成部分，它由位置控制、编码器接口、光栅尺的前置放大EXE等部件组成。
问题:什么是位置测量系统板故障时可能出现的现象？,答案:位置测量系统板故障时可能出现的现象包括：CNC不能执行回参考点动作或每次回参考点位置不一致、坐标轴或主轴的运动速度不稳定或不可调、加工尺寸不稳定、出现测量系统或接口电路硬件故障报警以及坐标轴不运动或定位不正确。
问题:当位置控制板发生故障时，应该如何进行维修？,答案:当位置控制板发生故障时，一般应先检查测量系统的接口电路，包括编码器输入信号的接口电路、位置给定输出的D/A转换器回路等。在现场不能修理的情况下，一般应更换一块新的备件板。
问题:如何保护SIEMENS系统的软件及数据？,答案:SIEMENS系统的软件设计较复杂，功能也较强，通常都要用编程器、计算机进行安装与调试。在有的系统中，包括PLC程序在内的大量数据都是存储在电池供电的IL4M之中。这些数据一旦丢失，必须对机床进行重新调整，甚至于需要重新编制PLC程序。因此，必须重视对系统软件及数据的保护。
问题:/820系统中数据分为哪几类，哪些类别的数据恢复相对较容易？,答案:数据分为A、B、C三类，A、B两类的数据恢复相对较容易。
问题:第C类数据包括哪些内容，它们为何对数控机床如此关键？,答案:第C类数据包括PLC用户程序、报警文本、NC与PC机床数据。这些数据是机床制造厂编制并经过调整、优化得到的，存储于用电池供电的RAM存储器子模块中，因此清除和修改都很容易。一旦这些内容被改写或丢失，整台机床就不能正常工作。
问题:如何保护810/820系统中的O类软件和数据？,答案:可以通过PCIN软件将系统软件和数据进行备份，存储于磁盘或光盘中，最好还能打印成文字的形式，以便进行校对与手动输入。
问题:机床制造厂家在交货时应提供哪些资料？,答案:机床制造厂家应作为机床必须具备的资料向使用者提供。
问题:如何防止系统软件和数据被误操作？,答案:应通过设置密码与制定相应的制度，防止误操作。修改机床数据、进行初始化调整工作，最好通过维修人员进行，以防止人为故障。
问题:/ 820 系统有哪几种规格，各种规格的软件有何特点？,答案:/ 820 系统有多种规格，各种规格的软件自成体系。早期的软件存在一些缺陷，使用中如果操作不当，容易引起一些故障。后期的软件已相当完善，一般不会再发生此类问题。
问题:如何处理早期 810 / 820 系统软件的缺陷？,答案:对于早期的 810 / 820 系统软件，如果操作不当容易引起故障，维修时可以通过初始化，重新建立正常的工作状态。
问题:不同版本的软件对启动芯片有什么要求？,答案:软件不能混合使用，否则会导致什么后果？
问题:NC数据NC-MD包括哪些子类？其中哪些数据在维修中可能需要进行调整？,答案:NC数据NC-MD包括通用数据NC-MD1-156和进给轴、主轴专用数据。在进给轴专用数据中，坐标轴的漂移补偿、传动间隙补偿、复合增益、位置环增益Kv、速度/加速度、夹紧允差以及与轮廓监控有关的数据在维修中可能需要进行调整。在主轴专用数据中，主轴在不同传动级变速档下的特性参数在维修中可能需要进行调整。
问题:通用位参数NC – MD5000 ~ 5050的作用是什么？在维修时可以根据需要作哪些改变？,答案:通用位参数NC – MD5000 ~ 5050是设置系统操作和功能的参数，在维修时可以根据需要作某些改变。
问题:主轴的专用位参数NC – MD5200 – 5210的作用是什么？在维修时可以根据需要作哪些改变？,答案:主轴的专用位参数NC – MD5200 – 5210是对主轴控制功能进行选择的参数，在维修时可以根据需要作某些改变。
问题:通道专用位参数NC – MD540* ~ 558*的作用是什么？在机床交付使用后是否可以调整？,答案:通道专用位参数NC – MD540* ~ 558*是对系统功能的选择参数，在机床交付使用后，一般不再做调整。
问题:进给轴专用位参数NC – MD560* ~ 576*的作用是什么？在维修时可以根据需要作哪些改变？,答案:进给轴专用位参数NC – MD560* ~ 576*是对主轴控制功能进行选择的参数，在维修时可以根据需要作某些改变。
问题:螺距误差补偿数据NC – MD6000 ~ 6249的作用是什么？在机床精度恢复时是否需要调整？,答案:螺距误差补偿数据NC – MD6000 ~ 6249是用来进行螺距补偿的，通常需要用激光干涉仪测出丝杠螺距误差曲线后才能进行调整，在机床精度恢复时，应作调整。
