questions,answers
何服系统有哪些分类方式？,何服系统可以根据使用的驱动装置分类为电液伺服系统和电气伺服系统；根据使用直流伺服电机或交流伺服电机分类为直流伺服系统和交流伺服系统；根据反馈比较控制方式分类为脉冲数字比较伺服系统、相位比较伺服系统、幅值比较伺服系统及全数字伺服系统；根据有无位置检测和反馈进行分类为开环伺服系统、闭环伺服系统和半闭环伺服系统。
开环伺服系统的特点是什么，它主要使用什么驱动装置？,开环伺服系统是最简单的进给伺服系统，其最主要的特点是无位置反馈，伺服驱动装置主要是步进电机、功率步进电机、电液脉冲马达等。
开环伺服系统的工作原理是什么，如何实现位置控制？,开环伺服系统是由步进电机及其驱动线路等组成，通过数控系统发出指令脉冲，经驱动电路和功率放大后，使步进电机转动，通过齿轮副与滚珠丝杠螺母副驱动执行部件。转角的大小由指令脉冲数所决定。
什么是伺服进给系统的基本要求？,伺服进给系统的基本要求包括精度要求和响应速度。
如何选用伺服驱动系统？,在实际中，必须根据机床的要求来确定伺服驱动系统，主要考虑精度要求和响应速度。对于低档型数控系统，驱动控制精度一般为0.01mm；而对于高性能数控系统，驱动控制精度为1μm，甚至为0.1μm。同时，需要有良好的快速响应特性，即要求跟踪指令信号的响应要快。
什么是闭环伺服系统？,闭环伺服系统由伺服电机、检测装置、比较电路、伺服放大系统等部分组成。闭环伺服系统根据来自检测装置的反馈信号与指令信号比较的结果进行速度和位置的控制，对部分数控机床来说，其检测反馈信号是从伺服电机轴或滚珠丝杠上取得的。
什么是半闭环系统？,对高精度或大型机床，直接从安装在工作台等移动部件上的检测装置中取得反馈信号。为区别两者，前者称为半闭环系统。半闭环系统中的转角测量比较容易实现，但由于后继传动链传动误差的影响，测量补偿精度比闭环系统差。
什么是闭环系统的优点和缺点？,闭环系统通过直接测量工作台等移动部件的位移，从而实现精度高的反馈控制。但这种测量装置的安装及调整都比较复杂且不易保养，相比之下，半闭环系统中的转角测量就比较容易实现。
什么是调速范围，它在数控机床中的作用是什么？,调速范围是指生产机械要求电机能提供的最高转速和最低转速之比，在数控机床中为保证在任何情况下都能得到最佳切削条件，进给驱动系统必须具有足够宽的调速范围。
在数控机床的加工中，为什么需要低速、大转矩的进给驱动系统？,根据机床的加工特点，经常在低速下进行重切削，即在低速下进给驱动系统必须有大的转矩输出。
什么是伺服电机，它包括哪些类型？,伺服电机主要包括步进电机、直流伺服电机、交流伺服电机和直线电机。
步进电机一般用于哪些场合？,步进电机一般用于开环系统，用于普通机床的数控改造，以及对精度要求较低的场合。
步进电机的工作原理是什么？,步进电机的工作原理是通过被励磁的定子电磁力吸引转子偏转输出转矩，它的理论依据是电磁作用原理。
什么部件按顺序轮流通电以产生磁场并使转子转动？,答：定子绕组按顺序轮流通电以产生磁场，并每次对转子的某一对齿产生电磁转矩，使它转动。
当转子的某一对齿的中心线与定子磁极的中心对齐时，会发生什么情况？,答：当转子的某一对齿的中心线与定子磁极的中心对齐时，磁阻最小，转矩为零。
什么是步进电机每步转过的角度？,答：步进电机每步转过的角度称为步距角。
在图3-2中，设A相通电，会发生什么情况？,答：设A相通电，转子的1，3两齿被磁极A产生的电磁转矩吸引转动，当1、3齿与A对齐时，转动停止。
什么是单三拍方式？,答：单三拍方式是指定子按A—B—C—A···顺序通电，转子就一步步地按逆时针方向转动，每步转30°，若改变通电顺序，按A—C—B—A···顺序通电，步进电机就按顺时针方向转动，同样每步转30°。
为什么实际中不采用单三拍控制方式？,答：由于每次只有一相绕组通电，在切换瞬间电机失去自锁转矩，容易失步；此外，只有一相绕组通电吸引转子，易在平衡位置附近产生振荡。
什么是双三拍控制方式？工作稳定性如何？,双三拍控制方式每次有两相绕组通电，切换时总保持一相绕组通电，所以工作较稳定。
什么是三相六拍控制方式？如何切换步进电机的旋转方向和转速？,三相六拍控制方式是通电顺序按A—AB—B—BC—C—CA—A…进行。步进电机的旋转方向和转速由定子绕组的脉冲电流决定，即由指令脉冲决定。
与单三拍控制方式相比，三相六拍控制方式有何优势？,三相六拍控制方式比单三拍控制方式步距角小一半，同时在切换时保持一相绕组通电，工作稳定。
反应式步进电机的结构原理是怎样的？,反应式步进电机的结构原理如图3-3所示，定子上有6个均布的磁极，在直径相对的两个极上的线圈串联，构成一相控制绕组。
反应式步进电机的两种结构形式是什么？,反应式步进电机的两种结构形式是径向分相式和轴向分相式。
五定子轴向分相的反应式步进电机的结构原理是什么？,五定子轴向分相的反应式步进电机的结构原理是定子和转子都分成五段，每一段都形成独立的一相定子铁心，定子绕组和转子。各段定子上的齿的相对位置彼此径向错开1/5齿距，其转子齿彼此不错位。当设置在定子铁心环形槽内的定子绕组通电时，形成一相环形绕组。构成图示磁回路。
径向分相式和轴向分相式结构相比，哪种结构的制造工艺更复杂？,轴向分相式结构的制造工艺比较复杂，目前大多数反应式步进电机采用径向分相式结构。
步进电机的步距角a受哪些因素影响？,答案：步进电机步距角a与定子绕组相数m、转子齿数z、通电方式（Q）有关。
步进电机的静态步距误差一般在多少以内？,答案：步进电机的静态步距误差一般在10＇以内。
反应式步进电机的步距角一般为多少？,答案：反应式步进电机的步距角一般为0.5°～3°。
什么是矩角特性、最大静态转矩Mx和启动转矩M4？,答案：输出转矩是指与步进电机的各种转速相对应的输出转矩，若施加超过输出转矩的负载转矩时，则步进电机就会停转。
什么是矩角特性，它如何描述步进电机的性能？,矩角特性是步进电机的一个重要特性，它描述了步进电机产生的静态转矩M与失调角θ的变化规律。通过分析M与θ的函数曲线，可以获得步进电机的最大静态转矩Mmmx、自锁力矩和静态误差等重要参数，从而评估步进电机的性能。
什么是最大静态转矩Mmmx，它表示什么？,最大静态转矩Mmmx是矩角特性曲线上峰值所对应的转矩，表示步进电机承受负载的能力。Mmmx越大，步进电机的自锁力矩越大，静态误差越小，电动机带负载的能力越强，运行的快速性和稳定性越好。
如何获得矩角特性曲线？,通过不断改变步进电机的负载转矩M值，可以获得对应的静态转矩Mj和失调角θ值，然后绘制Mj与θ的函数曲线，即为矩角特性曲线。图3—5所示为三相步进电机按照A—B—C—A······方式通电时，A、B、C各相的矩角特性曲线，三相矩角特性曲线在相位上互差1／3周期。
矩角特性曲线中的交点所对应的力矩M，表示什么？,矩角特性曲线中曲线A和曲线B的交点所对应的力矩M，是电机运行状态下的最大启动转矩，表示步进电机在启动时能够产生的最大转矩。
什么是加速时间常数T和减速时间常数Ta？,加速时间常数T和减速时间常数Ta用来描述步进电机的升速和降速特性，表示逐渐上升和下降的加速时间、减速时间不能过小，否则会出现失步或超步。
步进电机的动态特性描述了什么？,动态特性描述了步进电机各相定子绕组通、断电时的动态过程，它决定了步进电机的动态精度。
什么是矩频特性、惯频特性和动态特性？,矩频特性、惯频特性和动态特性都是步进电机很重要的特性。矩频特性描述了步进电机控制频率与电磁力矩之间的关系，惯频特性描述了步进电机带动纯惯性负载时启动频率和负载转动惯量之间的关系。
如何计算步进电机开环进给系统的脉冲当量？,脉冲当量8定义为：数控系统发出一个指令脉冲，工作台所移动的距离。它决定了数控机床的加工精度和驱动系统的最高工作频率。进给系统的脉冲当量为3（mm），步进电机的步距角为a，齿轮传动链的传动比为i，滚珠丝杠的导程为：（mm），它们之间的关系如下，即脉冲当量8=3（mm）×a×i。
